filename,width,height,class,xmin,ymin,xmax,ymax
p1189_jpg.rf.0043b1553037fee9a978168d7e6ea3e6.jpg,378,378,L,90,186,334,207
p1189_jpg.rf.0043b1553037fee9a978168d7e6ea3e6.jpg,378,378,potholes,68,121,347,267
p1522_jpg.rf.003e1fbdac059360a5d56ac9622071c5.jpg,363,261,potholes,40,33,326,150
p1522_jpg.rf.003e1fbdac059360a5d56ac9622071c5.jpg,363,261,L,60,80,289,97
p1975_jpg.rf.004b0a0333d4c4c486ef81829b37b785.jpg,570,443,potholes,13,3,397,431
p1975_jpg.rf.004b0a0333d4c4c486ef81829b37b785.jpg,570,443,L,279,123,303,270
p467_jpg.rf.019aa05b7898153a9b30530a76d2a8c1.jpg,521,378,potholes,7,12,362,284
p467_jpg.rf.019aa05b7898153a9b30530a76d2a8c1.jpg,521,378,L,180,10,268,267
p1501_jpg.rf.016afa7ab3fdd10b55cd46401b1f0259.jpg,427,308,L,16,173,252,190
p1501_jpg.rf.016afa7ab3fdd10b55cd46401b1f0259.jpg,427,308,potholes,23,43,427,293
p1546_jpg.rf.0131e571a59faf7ed06a7c28f11d40ed.jpg,824,544,potholes,0,0,680,544
p1546_jpg.rf.0131e571a59faf7ed06a7c28f11d40ed.jpg,824,544,L,317,210,393,544
p1246_jpg.rf.029a9ac568cfc1f19b394f213cbcf49c.jpg,378,378,L,35,201,288,225
p1246_jpg.rf.029a9ac568cfc1f19b394f213cbcf49c.jpg,378,378,potholes,141,159,285,261
p983_jpg.rf.04791a4ac06f0b94252a1c6764f9f7b8.jpg,1124,1090,potholes,117,178,909,1090
p983_jpg.rf.04791a4ac06f0b94252a1c6764f9f7b8.jpg,1124,1090,L,466,431,559,931
p1344_jpg.rf.03819b8c1a401468fab60bb720c394bd.jpg,378,378,potholes,78,167,349,255
p1344_jpg.rf.03819b8c1a401468fab60bb720c394bd.jpg,378,378,L,79,203,305,220
p286_jpg.rf.041195db3adc777f90abc5021cc4a05d.jpg,759,616,L,95,208,554,236
p286_jpg.rf.041195db3adc777f90abc5021cc4a05d.jpg,759,616,potholes,122,138,518,313
p2011_jpg.rf.04d53266a27518119eed3c9d51a3501f.jpg,559,436,potholes,130,21,482,369
p2011_jpg.rf.04d53266a27518119eed3c9d51a3501f.jpg,559,436,L,125,145,445,171
