pothole_id,pothole_area_mm2,Bags used 
1000,584696.8641114982,14.25
1002,614599.2647058823,4.0
1003,201351.84508586043,1.0
1008,103773.8803632947,0.5
1009,10927.186761229315,0.25
101,93733.74613003097,0.5
1016,210585.67603748327,
1017,463628.49271940184,3.5
1018,67341.75084175084,1.0
1019,21310.714285714286,0.5
102,133545.524691358,1.0
1020,235973.597359736,1.5
1022,132648.401826484,2.0
1024,50542.857142857145,0.25
1025,147903.2609881121,2.5
1026,28918.032786885247,0.5
1027,16846.223363774734,0.5
1030,74407.179971658,
1033,13787.888084427535,0.25
1035,92374.4292237443,0.5
1036,38929.17798913043,0.5
1037,57404.898384575295,0.5
1041,27219.65160587915,0.25
1043,13641.618497109828,0.25
1047,49153.976311336715,0.5
1048,40260.19690576653,0.5
1049,51400.966183574885,0.25
1051,240804.9040511727,1.55
1052,150721.7444717445,1.05
1054,131889.76377952757,3.0
1055,34115.05044843049,0.5
1058,168561.7283950617,2.0
1059,29989.18918918919,0.25
106,25759.33644899162,0.5
1060,91601.4042668107,1.0
1061,31115.06524317912,0.5
1062,30977.859778597787,0.5
1063,36381.27090301003,0.25
1064,17045.084635416668,0.25
1065,56444.162793972675,0.5
1069,12706.683560342097,0.5
107,12102.17420301454,0.5
1070,27255.306603773584,0.5
1071,132736.508994004,0.5
1072,110889.98211091236,0.55
1073,147421.17117117118,1.0
1074,94291.3732394366,1.0
1075,47264.54293628809,0.5
1076,22738.34745762712,0.25
1077,21604.04624277457,0.25
1079,22148.541114058353,0.25
1080,77177.41935483871,0.5
1081,52616.35220125786,0.5
1082,27136.41755634638,0.5
1083,108567.77493606138,1.0
1084,23019.80198019802,1.0
1088,20749.547101449276,0.5
1089,53564.81481481482,0.5
109,148783.0882352941,0.5
1090,39697.9517759917,0.5
1095,42989.89898989899,0.5
1096,46365.60212907518,0.5
1097,7820.003781433163,0.25
1098,54277.849740932645,0.5
1099,92700.18621973928,0.5
110,103469.38775510204,2.0
1100,33096.06481481482,0.5
1101,30937.5,0.25
1102,98743.52331606216,1.0
1103,52105.882352941175,0.5
1104,42996.45390070922,0.5
1105,59362.24489795918,0.5
1106,49838.23043908881,0.5
1107,59846.9387755102,0.5
1108,15739.439673865903,0.5
1109,23646.755162241887,3.1
111,139655.1724137931,0.5
1110,19986.28257887517,0.25
1111,24854.875283446712,0.25
1112,29038.461538461535,0.25
1113,37706.92826486818,0.25
1114,65929.87804878049,0.5
1116,78581.10925771476,0.5
1117,99866.66666666666,1.0
1118,36573.033707865165,8.0
1119,41283.231083844585,0.5
112,41685.52036199095,0.5
1120,24704.6783625731,0.25
1121,9440.970821567837,0.5
1122,72452.66990291262,0.5
1123,55080.106809078774,0.5
1125,41224.489795918365,0.5
1126,83734.22159887798,1.0
1127,76136.29629629629,3.05
1128,89869.56521739131,8.0
1129,43475.029726516055,0.5
1130,14204.545454545456,0.5
1131,72139.68253968253,0.5
1133,30037.5,0.25
1135,5034.722222222223,0.25
1138,41428.57142857143,0.5
1139,37047.96411318151,0.5
1141,8062.721108490567,0.5
1142,48372.84482758621,1.0
1155,4737.678223916756,0.25
1157,4575.569358178054,0.25
116,26322.17444717445,1.0
1168,24913.793103448275,0.25
1169,13733.198924731185,0.5
1176,62590.909090909096,0.5
1177,31676.32850241546,0.5
1178,4339.6345305608065,0.5
1179,12921.470095575918,0.25
118,202513.2042253521,2.0
1180,71354.69543147208,0.5
1185,26219.532011699703,0.5
1186,28923.581162670347,0.5
1187,41158.91472868217,5.5
1188,21786.777843954736,0.25
1189,39748.24355971897,0.5
119,35503.597122302155,1.0
1193,48493.71428571428,0.5
1195,18319.76313841599,0.25
1196,7392.942109436955,0.5
1197,16118.788386376327,0.25
120,87337.4613003096,1.0
1200,94511.75107580272,1.0
1201,88487.47591522158,0.5
121,80238.9705882353,0.5
1214,25710.15815085158,0.25
1218,31737.704918032785,0.25
122,281474.9262536873,4.0
1221,10191.63763066202,0.25
1224,8873.82075471698,0.25
1226,60445.859872611465,1.05
1228,23610.21454338333,0.25
1229,17709.54356846473,0.25
123,236113.78205128203,3.0
1230,166732.18673218673,1.0
1235,5444.278977413751,0.25
1236,122331.0344827586,0.5
124,130235.29411764706,1.0
1240,20543.478260869564,0.25
1243,53257.90792358283,0.5
1245,37546.28571428571,0.25
1246,12094.861660079052,0.25
1247,27519.08396946565,0.5
1248,110500.0,1.0
125,79125.0,1.0
1251,102109.09090909093,1.0
1253,40423.83933229004,0.5
1258,619326.9230769231,2.05
1259,100963.16425120774,1.0
126,28269.84126984127,0.5
1260,50472.334682861,0.25
1263,58697.916666666664,0.25
1264,61201.88101487314,0.5
1265,148397.79005524862,0.5
1267,140717.29957805906,1.0
1269,128810.39915966388,2.0
127,79053.33333333334,1.0
1271,39854.01459854015,0.5
1272,118777.17391304349,1.0
1274,44381.68449197861,0.25
1275,23008.780991735537,0.25
1276,29540.422676954044,0.25
1277,33773.29192546584,0.25
128,189112.7819548872,1.0
1282,28642.533936651584,0.25
1284,50524.822695035466,1.05
1285,44199.09502262443,0.5
1286,141212.42995415183,1.0
1287,35940.272028385574,0.5
1288,16256.0553633218,0.25
1291,24490.21103483346,0.5
1293,16609.68660968661,0.5
1294,26600.105792118484,0.25
1295,12812.65664160401,0.25
1298,15978.260869565216,0.25
1299,12953.947368421052,0.25
1302,14247.527399091154,0.25
1303,24809.670781893004,0.25
1304,22658.267716535433,0.25
1305,63515.625,0.5
1306,20012.334258402716,0.25
1309,23650.714285714286,0.25
1310,14964.377055169894,0.25
1312,8203.208556149733,0.25
1313,5888.771186440678,0.25
1314,73750.44563279857,0.5
1315,12844.401041666666,0.25
1316,49271.862648221344,0.5
1318,19868.31812255541,0.25
132,329252.07756232686,2.0
1320,32863.22188449848,0.25
1323,208779.06976744183,1.0
1324,17806.282240235814,0.25
1325,22074.82993197279,0.5
1326,12967.678326474625,0.25
1328,72898.24561403508,1.0
133,80652.17391304349,1.0
1333,7030.3605313092985,0.25
1335,26240.85811799122,0.25
1336,30068.965517241377,0.25
1337,56080.202312138725,0.25
134,302340.4255319149,1.0
1342,22989.05529953917,0.5
1343,38054.78763508419,0.5
1344,31035.91879229568,0.5
1345,40384.07029478458,0.5
1349,115183.46111719606,1.0
135,197915.99785981808,3.0
1350,17623.076923076922,0.25
1352,27976.190476190477,0.25
