                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.009,                 3.8158,                 2.2248,                0.00573,                0.60325,                0.12179,                0.04755,                 1.7626,                 3.7257,                 2.0493,             0.00034296,             0.00034296,             0.00034296
                      2,                 1.8382,                 2.8248,                 2.0136,                 0.0082,                0.65976,                0.19866,                 0.0733,                 1.8134,                  3.622,                 2.1503,             0.00063089,             0.00063089,             0.00063089
                      3,                 1.8212,                 2.5698,                 1.9922,                0.43669,                0.07063,                0.11485,                0.03343,                 2.2413,                 3.5141,                 2.5736,             0.00084808,             0.00084808,             0.00084808
                      4,                 1.7451,                 2.3756,                  1.929,                0.63479,                0.23872,                0.26576,                0.10447,                 2.0464,                 3.1191,                 2.5394,             0.00099454,             0.00099454,             0.00099454
                      5,                 1.7035,                 2.2107,                 1.8627,                0.64464,                0.35648,                0.32534,                 0.1361,                 1.8159,                 2.5741,                   2.18,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.6011,                 2.0262,                 1.8099,                0.66545,                0.43679,                0.37979,                0.17027,                 1.8026,                 2.2904,                 2.0375,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.6141,                 1.9803,                 1.7594,                0.33565,                0.48468,                0.44113,                0.22317,                 1.7195,                 2.3914,                 1.9942,             0.00058017,             0.00058017,             0.00058017
                      8,                  1.481,                    1.8,                 1.6452,                0.69314,                0.51613,                0.47657,                0.25093,                 1.5422,                 1.9532,                 1.8018,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.4603,                  1.732,                 1.6631,                0.77728,                0.47774,                 0.5208,                0.27953,                 1.4918,                 1.7942,                 1.7586,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.3699,                 1.6269,                  1.593,                0.80135,                0.51806,                0.49695,                0.28912,                 1.4354,                 1.7858,                 1.7293,             0.00015576,             0.00015576,             0.00015576
