                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9033,                 3.1287,                 1.9776,                0.02485,                0.42327,                0.08378,                0.03106,                 2.1709,                 3.9789,                 2.2834,             0.00034296,             0.00034296,             0.00034296
                      2,                 1.6838,                 2.3793,                 1.7502,                0.85648,                0.09371,                0.18801,                0.08135,                 2.2981,                  3.555,                 2.5629,             0.00069328,             0.00069328,             0.00069328
                      3,                 1.6907,                 2.4971,                 1.7435,                 0.5885,                0.19096,                0.14852,                0.04975,                  2.449,                 3.3504,                 2.6139,              0.0010365,              0.0010365,              0.0010365
                      4,                 1.7109,                 2.1618,                 1.7852,                0.59188,                0.21077,                0.20831,                0.08278,                 2.4813,                 3.3346,                 2.9147,              0.0013727,              0.0013727,              0.0013727
                      5,                 1.7104,                 2.0648,                 1.7608,                0.58619,                0.22276,                0.20561,                0.07687,                 2.3581,                 3.8049,                 2.7304,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.6597,                 1.9142,                  1.693,                0.66507,                0.30091,                0.29705,                0.12448,                 1.9163,                 2.4096,                 2.2039,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.6669,                 1.9069,                 1.7257,                0.62093,                0.35762,                0.28925,                0.11367,                 2.3053,                 2.5711,                 2.3357,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.5953,                  1.816,                 1.6664,                0.60393,                0.39614,                0.32685,                0.12139,                 2.1403,                 3.1512,                 2.3879,                0.00133,                0.00133,                0.00133
                      9,                 1.5825,                 1.7276,                 1.6524,                0.66795,                0.33462,                0.34632,                 0.1509,                  2.095,                 2.3501,                 2.2101,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.6049,                 1.6874,                 1.6383,                0.75842,                0.32012,                0.40554,                0.18623,                 1.7668,                 2.2056,                 1.9607,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.5348,                 1.5879,                 1.6079,                0.64733,                0.39721,                0.37881,                0.17591,                 1.7507,                 2.4819,                 2.0147,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.4993,                 1.5973,                 1.5562,                 0.6721,                0.35234,                 0.3835,                0.17538,                 2.0551,                 2.2485,                 2.2189,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.4863,                 1.5264,                   1.54,                0.36931,                0.44269,                0.46132,                0.22597,                 1.8164,                 1.7971,                 1.9927,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.4693,                 1.5613,                 1.5586,                0.34935,                0.43689,                0.40739,                0.20911,                 1.6219,                 1.7968,                 1.8057,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.4386,                 1.4308,                 1.5264,                0.41419,                0.42398,                0.44452,                0.23242,                 1.8062,                 2.0753,                 1.9655,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.4097,                 1.4464,                  1.511,                0.76962,                0.50661,                0.52739,                0.26343,                 1.6913,                 1.6167,                 1.8456,              0.0012168,              0.0012168,              0.0012168
                     17,                  1.431,                 1.3668,                 1.5215,                0.73121,                0.47702,                0.49664,                0.26604,                 1.5754,                 1.6142,                 1.7607,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.3676,                 1.3146,                 1.4735,                0.36023,                0.48557,                 0.4626,                0.24805,                 1.7049,                 1.5649,                 1.8172,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.4515,                 1.3679,                 1.5108,                0.34286,                0.41565,                0.40056,                0.21181,                 1.6852,                 1.6508,                  1.894,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.3605,                   1.29,                 1.4707,                0.77453,                0.51515,                0.54663,                0.30108,                 1.5904,                 1.3833,                 1.8083,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.3387,                  1.305,                 1.4426,                0.79422,                0.51569,                0.57404,                0.28149,                 1.6532,                 1.6499,                  1.749,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.3556,                 1.4336,                 1.4482,                0.75675,                0.50528,                0.53021,                0.27291,                 1.6167,                 1.6724,                  1.798,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.3343,                 1.2418,                 1.4645,                0.75312,                0.49715,                0.50302,                0.26462,                 1.7853,                 1.5283,                 1.9698,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.3268,                 1.1966,                 1.4383,                0.70471,                0.58445,                0.56812,                0.28846,                 1.8947,                 1.5216,                 2.2061,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.2841,                 1.2056,                 1.3706,                0.54419,                0.69335,                0.60073,                0.32733,                 1.4336,                 1.2793,                 1.6417,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.2644,                 1.1677,                 1.3819,                0.47109,                0.52956,                0.56517,                0.31254,                  1.363,                 1.2919,                 1.5993,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.3151,                 1.1984,                 1.4697,                0.83191,                0.53449,                0.56667,                0.32397,                 1.4418,                 1.2184,                 1.6909,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.2667,                 1.2219,                 1.4208,                0.48592,                0.50145,                0.54452,                0.30163,                 1.6054,                 1.1955,                 1.7649,               0.001047,               0.001047,               0.001047
                     29,                 1.2707,                 1.2266,                 1.3862,                 0.4421,                0.52164,                0.53095,                0.29713,                 1.6402,                 1.4157,                 1.7181,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.2315,                  1.171,                 1.3854,                 0.5387,                0.52296,                0.54995,                0.31645,                 1.6346,                 1.4198,                 1.8081,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.2394,                 1.1452,                 1.3935,                0.52393,                0.59433,                0.58389,                0.34782,                 1.4671,                 1.2408,                  1.704,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.2096,                 1.0992,                 1.3581,                0.59934,                0.60774,                0.60911,                0.35232,                 1.4897,                 1.1531,                 1.7408,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.2398,                 1.0775,                  1.368,                0.58426,                0.62395,                0.60066,                0.33692,                   1.45,                 1.4403,                 1.6776,             0.00097629,             0.00097629,             0.00097629
                     34,                  1.245,                 1.0786,                 1.3761,                0.63226,                0.51419,                0.60818,                0.33786,                  1.627,                 1.4313,                 1.8582,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.2132,                 1.0977,                  1.354,                 0.6472,                0.62226,                0.62768,                0.34685,                 1.4976,                 1.1586,                 1.6719,               0.000948,               0.000948,               0.000948
                     36,                 1.1931,                 1.0366,                 1.3433,                0.60089,                0.62634,                0.67292,                 0.4112,                 1.3559,                 1.0641,                 1.5878,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.2445,                 1.1131,                 1.3788,                 0.4496,                0.68374,                0.57347,                0.32845,                 1.2593,                 1.1537,                 1.5433,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.1496,                 1.0084,                 1.3313,                0.50175,                0.54927,                0.57736,                0.34272,                 1.3128,                 1.1421,                 1.5775,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.2089,                 1.0496,                 1.3819,                0.65316,                0.57823,                0.63905,                0.41456,                 1.2187,                 1.1196,                 1.4727,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.1377,                 1.0194,                 1.3377,                 0.7362,                0.63872,                0.66073,                 0.4083,                 1.3307,                 1.0459,                 1.5468,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.1735,                 1.1833,                 1.3591,                 0.7709,                0.55736,                0.64826,                0.40988,                 1.2883,                 1.1906,                 1.5325,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.1425,                0.99885,                 1.3175,                0.51708,                0.55734,                0.58234,                0.32962,                 1.4111,                 1.1751,                 1.6425,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.1273,                0.99291,                 1.2828,                0.62404,                0.62131,                0.63844,                0.40356,                 1.3103,                 1.1053,                 1.5509,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.1467,                 1.0089,                 1.3212,                0.57477,                0.60069,                0.61913,                0.36366,                 1.3458,                  1.108,                 1.5646,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.1177,                0.95777,                  1.286,                0.73191,                0.59293,                0.66009,                 0.4288,                 1.2352,                 1.0433,                 1.5162,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.1692,                0.97245,                 1.3512,                0.62597,                0.59685,                 0.6666,                 0.4239,                 1.3446,                  1.113,                 1.5697,             0.00079238,             0.00079238,             0.00079238
