score,filename
0.04415,1.csv
0.15404,2.csv
0.04869,3.csv
-0.2311,4.csv
-0.33767,5.csv
0.16664,6.csv
0.14525,7.csv
0.00611,8.csv
0.04751,9.csv
-0.0783,10.csv
0.17464,11.csv
0.18257,12.csv
-0.56607,13.csv
0.15278,14.csv
-0.46283,15.csv
-1.60251,16.csv
0.13523,17.csv
0.17464,18.csv
-0.04002,19.csv
-0.00678,20.csv
0.09714,21.csv
0.16601,22.csv
0.16203,23.csv
0.12067,24.csv
0.16601,25.csv
0.13079,26.csv
0.02934,27.csv
0.02934,28.csv
0.11865,29.csv
-0.04414,30.csv
0.10134,31.csv
0.03032,32.csv
-0.01613,33.csv
-0.17793,34.csv
-2.73479,35.csv
